issn,subject_area,top_level
0031-9422,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0031-9422,Life Sciences,Agricultural and Biological Sciences
0034-5288,Health Sciences,Veterinary
0035-3787,Health Sciences,Medicine
0035-3787,Life Sciences,Neuroscience
0040-6090,Physical Sciences,Physics and Astronomy
0040-6090,Physical Sciences,Materials Science
0042-207X,Physical Sciences,Physics and Astronomy
0042-207X,Physical Sciences,Materials Science
0045-7949,Physical Sciences,Mathematics
0045-7949,Physical Sciences,Computer Science
0045-7949,Physical Sciences,Materials Science
0045-7949,Physical Sciences,Engineering
0093-6413,Physical Sciences,Materials Science
0093-6413,Physical Sciences,Engineering
0093-6413,Physical Sciences,Physics and Astronomy
0140-1963,Physical Sciences,Environmental Science
0140-1963,Physical Sciences,Earth and Planetary Sciences
0140-1963,Life Sciences,Agricultural and Biological Sciences
0140-1971,Social Sciences,Psychology
0140-1971,Health Sciences,Medicine
0142-9418,Physical Sciences,Materials Science
0142-9418,Physical Sciences,Chemistry
0143-4004,Health Sciences,Medicine
0143-4004,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0143-4160,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0143-8166,Physical Sciences,Engineering
0143-8166,Physical Sciences,Materials Science
0143-8166,Physical Sciences,Physics and Astronomy
0145-2134,Health Sciences,Medicine
0145-2134,Social Sciences,Psychology
0165-7836,Life Sciences,Agricultural and Biological Sciences
0166-445X,Physical Sciences,Environmental Science
0166-445X,Life Sciences,Agricultural and Biological Sciences
0168-8278,Health Sciences,Medicine
0169-7439,Physical Sciences,Chemistry
0169-7439,Physical Sciences,Computer Science
0169-7439,Physical Sciences,Chemical Engineering
0169-7722,Physical Sciences,Environmental Science
0197-3975,Social Sciences,Social Sciences
0210-5705,Health Sciences,Medicine
0264-410X,Health Sciences,Medicine
0264-410X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0264-410X,Life Sciences,Immunology and Microbiology
0264-410X,Health Sciences,Veterinary
0271-5317,Health Sciences,Nursing
0271-5317,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0271-5317,Health Sciences,Medicine
0301-0104,Physical Sciences,Chemistry
0301-0104,Physical Sciences,Physics and Astronomy
0305-1978,Life Sciences,Agricultural and Biological Sciences
0305-1978,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0341-8162,Physical Sciences,Earth and Planetary Sciences
0362-546X,Physical Sciences,Mathematics
0378-4320,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0378-4320,Life Sciences,Agricultural and Biological Sciences
0378-4320,Health Sciences,Veterinary
0378-5955,Life Sciences,Neuroscience
0385-8146,Health Sciences,Medicine
0735-1933,Physical Sciences,Physics and Astronomy
0735-1933,Physical Sciences,Chemical Engineering
0747-5632,Physical Sciences,Computer Science
0747-5632,Social Sciences,Psychology
0747-5632,Social Sciences,Arts and Humanities
0883-9441,Health Sciences,Medicine
0889-4906,Social Sciences,Arts and Humanities
0889-4906,Social Sciences,Social Sciences
0896-6273,Life Sciences,Neuroscience
0896-8446,Physical Sciences,Chemical Engineering
0896-8446,Physical Sciences,Chemistry
0896-8446,Physical Sciences,Physics and Astronomy
0925-3467,Physical Sciences,Materials Science
0925-3467,Physical Sciences,Chemistry
0925-3467,Physical Sciences,Engineering
0925-3467,Physical Sciences,Physics and Astronomy
0927-5371,Social Sciences,"Business, Management and Accounting"
0927-5371,Social Sciences,"Economics, Econometrics and Finance"
0944-2006,Life Sciences,Agricultural and Biological Sciences
0945-053X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0959-8049,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0959-8049,Health Sciences,Medicine
0962-8924,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0966-842X,Health Sciences,Medicine
0966-842X,Life Sciences,Immunology and Microbiology
0969-8051,Health Sciences,Medicine
0969-8051,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1043-4666,Life Sciences,Immunology and Microbiology
1043-4666,Health Sciences,Medicine
1043-4666,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1046-5928,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1062-9408,Social Sciences,"Economics, Econometrics and Finance"
1083-3188,Health Sciences,Medicine
1094-6950,Health Sciences,Medicine
1096-7192,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1096-7192,Health Sciences,Medicine
1096-7516,Physical Sciences,Computer Science
1096-7516,Social Sciences,Social Sciences
1369-5274,Health Sciences,Medicine
1369-5274,Life Sciences,Immunology and Microbiology
1369-8478,Social Sciences,Social Sciences
1369-8478,Physical Sciences,Engineering
1369-8478,Social Sciences,Psychology
1388-1981,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1465-3249,Health Sciences,Medicine
1465-3249,Life Sciences,Immunology and Microbiology
1465-3249,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1471-0153,Health Sciences,Medicine
1471-0153,Social Sciences,Psychology
1499-2671,Health Sciences,Medicine
1499-2671,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1524-9042,Health Sciences,Nursing
1529-9430,Health Sciences,Medicine
1542-0124,Health Sciences,Medicine
1557-5063,Health Sciences,Veterinary
1567-1348,Life Sciences,Immunology and Microbiology
1567-1348,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1567-1348,Health Sciences,Medicine
1567-1348,Life Sciences,Agricultural and Biological Sciences
1590-8658,Health Sciences,Medicine
1751-4851,Health Sciences,Nursing
1754-5048,Life Sciences,Agricultural and Biological Sciences
1754-5048,Physical Sciences,Environmental Science
1773-2247,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1871-1014,Physical Sciences,Earth and Planetary Sciences
1877-0320,Health Sciences,Medicine
1877-7821,Health Sciences,Medicine
1877-7821,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
2210-271X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
2210-271X,Physical Sciences,Chemistry
2210-271X,Physical Sciences,Physics and Astronomy
2211-3649,Health Sciences,Medicine
2211-3649,Social Sciences,Psychology
2211-4645,Social Sciences,Social Sciences
2211-4645,Physical Sciences,Environmental Science
2212-828X,Social Sciences,"Economics, Econometrics and Finance"
2212-828X,Social Sciences,Social Sciences
2214-5524,Life Sciences,Agricultural and Biological Sciences
2214-5524,Physical Sciences,Physics and Astronomy
2214-5524,Physical Sciences,Environmental Science
2352-1864,Physical Sciences,Environmental Science
2352-1864,Life Sciences,Agricultural and Biological Sciences
2352-250X,Social Sciences,Psychology
0022-3476,Health Sciences,Medicine
0022-3549,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0039-128X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0039-128X,Physical Sciences,Chemistry
0039-128X,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0923-1811,Health Sciences,Medicine
0923-1811,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1369-5266,Life Sciences,Agricultural and Biological Sciences
1521-6616,Health Sciences,Medicine
1521-6616,Life Sciences,Immunology and Microbiology
0969-2126,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0167-8140,Health Sciences,Medicine
1535-6108,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1535-6108,Health Sciences,Medicine
1359-6462,Physical Sciences,Materials Science
1359-6462,Physical Sciences,Engineering
1359-6462,Physical Sciences,Physics and Astronomy
1875-0672,Social Sciences,Social Sciences
1875-0672,Health Sciences,Medicine
2213-1779,Health Sciences,Medicine
0898-1221,Physical Sciences,Mathematics
0898-1221,Physical Sciences,Computer Science
0022-0396,Physical Sciences,Mathematics
0001-4575,Social Sciences,Social Sciences
0001-4575,Health Sciences,Medicine
0001-4575,Physical Sciences,Engineering
0001-706X,Health Sciences,Medicine
0001-706X,Health Sciences,Veterinary
0001-706X,Life Sciences,Agricultural and Biological Sciences
0001-706X,Life Sciences,Immunology and Microbiology
0002-9629,Health Sciences,Medicine
0009-9260,Health Sciences,Medicine
0010-4655,Physical Sciences,Computer Science
0010-4655,Physical Sciences,Physics and Astronomy
0014-3057,Physical Sciences,Chemistry
0014-3057,Physical Sciences,Materials Science
0014-3057,Physical Sciences,Physics and Astronomy
0020-7225,Physical Sciences,Materials Science
0020-7225,Physical Sciences,Engineering
0022-5096,Physical Sciences,Engineering
0022-5096,Physical Sciences,Physics and Astronomy
0030-3992,Physical Sciences,Physics and Astronomy
0030-3992,Physical Sciences,Materials Science
0030-3992,Physical Sciences,Engineering
0031-9406,Health Sciences,Health Professions
0033-3182,Health Sciences,Medicine
0033-3182,Social Sciences,Psychology
0033-3182,Social Sciences,Arts and Humanities
0041-1345,Health Sciences,Medicine
0045-6535,Physical Sciences,Environmental Science
0045-6535,Physical Sciences,Chemistry
0079-6700,Physical Sciences,Materials Science
0079-6700,Physical Sciences,Physics and Astronomy
0079-6700,Physical Sciences,Chemistry
0095-4470,Social Sciences,Arts and Humanities
0095-4470,Health Sciences,Health Professions
0095-4470,Social Sciences,Social Sciences
0099-1333,Social Sciences,Social Sciences
0147-0272,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0147-0272,Health Sciences,Medicine
0161-6420,Health Sciences,Medicine
0165-2370,Physical Sciences,Chemistry
0165-2370,Physical Sciences,Energy
0165-5876,Health Sciences,Medicine
0167-6105,Physical Sciences,Energy
0167-6105,Physical Sciences,Engineering
0168-1591,Life Sciences,Agricultural and Biological Sciences
0168-1591,Health Sciences,Veterinary
0168-8227,Health Sciences,Medicine
0168-8227,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0169-2046,Physical Sciences,Environmental Science
0195-6671,Physical Sciences,Earth and Planetary Sciences
0196-0709,Health Sciences,Medicine
0255-2701,Physical Sciences,Chemical Engineering
0255-2701,Physical Sciences,Energy
0255-2701,Physical Sciences,Engineering
0255-2701,Physical Sciences,Chemistry
0271-5309,Social Sciences,Arts and Humanities
0271-5309,Social Sciences,Social Sciences
0271-5309,Social Sciences,Psychology
0304-4076,Social Sciences,"Economics, Econometrics and Finance"
0377-0273,Physical Sciences,Earth and Planetary Sciences
0378-2166,Social Sciences,Social Sciences
0378-2166,Social Sciences,Arts and Humanities
0378-2166,Physical Sciences,Computer Science
0378-3782,Health Sciences,Medicine
0730-725X,Physical Sciences,Engineering
0730-725X,Health Sciences,Medicine
0730-725X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0737-0806,Health Sciences,Veterinary
0740-0020,Life Sciences,Agricultural and Biological Sciences
0740-0020,Life Sciences,Immunology and Microbiology
0749-5978,Social Sciences,"Business, Management and Accounting"
0749-5978,Social Sciences,Psychology
0889-5406,Health Sciences,Dentistry
0889-9746,Physical Sciences,Engineering
0921-8181,Physical Sciences,Environmental Science
0921-8181,Physical Sciences,Earth and Planetary Sciences
0924-2031,Physical Sciences,Chemistry
0924-8579,Health Sciences,Medicine
0939-6411,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0939-6411,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0952-3278,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0959-289X,Health Sciences,Medicine
0962-6298,Social Sciences,Social Sciences
0962-6298,Social Sciences,Arts and Humanities
0964-5691,Physical Sciences,Earth and Planetary Sciences
0964-5691,Life Sciences,Agricultural and Biological Sciences
0964-5691,Physical Sciences,Environmental Science
0965-8564,Physical Sciences,Engineering
0965-8564,Social Sciences,Social Sciences
0965-8564,Social Sciences,Decision Sciences
0969-6997,Physical Sciences,Environmental Science
0969-6997,Social Sciences,"Business, Management and Accounting"
0969-6997,Social Sciences,Social Sciences
1043-2760,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1043-2760,Health Sciences,Medicine
1047-3203,Physical Sciences,Computer Science
1047-3203,Physical Sciences,Engineering
1050-1738,Health Sciences,Medicine
1054-139X,Health Sciences,Medicine
1067-2516,Health Sciences,Medicine
1067-991X,Health Sciences,Nursing
1067-991X,Health Sciences,Medicine
1076-6332,Health Sciences,Medicine
1078-8174,Health Sciences,Medicine
1090-3798,Health Sciences,Medicine
1090-5138,Social Sciences,Arts and Humanities
1090-5138,Social Sciences,Psychology
1090-5138,Life Sciences,Agricultural and Biological Sciences
1350-4177,Physical Sciences,Chemistry
1350-4177,Physical Sciences,Environmental Science
1350-4177,Physical Sciences,Physics and Astronomy
1350-4177,Health Sciences,Medicine
1350-4177,Physical Sciences,Chemical Engineering
1364-6826,Physical Sciences,Earth and Planetary Sciences
1368-8375,Health Sciences,Medicine
1368-8375,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1368-8375,Health Sciences,Dentistry
1386-5056,Health Sciences,Medicine
1387-7003,Physical Sciences,Chemistry
1387-7003,Physical Sciences,Materials Science
1549-9634,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1549-9634,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1549-9634,Health Sciences,Medicine
1549-9634,Physical Sciences,Chemical Engineering
1549-9634,Physical Sciences,Engineering
1549-9634,Physical Sciences,Materials Science
1558-7878,Health Sciences,Veterinary
1567-5688,Health Sciences,Medicine
1570-9639,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1570-9639,Physical Sciences,Chemistry
1744-3881,Health Sciences,Medicine
1876-2859,Health Sciences,Medicine
2211-0348,Health Sciences,Medicine
2211-0348,Life Sciences,Neuroscience
2213-8587,Health Sciences,Medicine
2213-8587,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
8755-7223,Health Sciences,Nursing
0002-9610,Health Sciences,Medicine
0955-2863,Health Sciences,Nursing
0955-2863,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0955-2863,Health Sciences,Medicine
1072-7515,Health Sciences,Medicine
0022-4073,Physical Sciences,Physics and Astronomy
0022-4073,Physical Sciences,Chemistry
1477-3880,Social Sciences,Social Sciences
0925-4439,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1083-8791,Health Sciences,Medicine
1098-3015,Health Sciences,Medicine
1556-0864,Health Sciences,Medicine
0092-8674,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1074-7613,Life Sciences,Immunology and Microbiology
1074-7613,Health Sciences,Medicine
0254-6299,Life Sciences,Agricultural and Biological Sciences
0007-0912,Health Sciences,Medicine
0021-8693,Physical Sciences,Mathematics
0747-7171,Physical Sciences,Mathematics
1071-5797,Physical Sciences,Engineering
1071-5797,Physical Sciences,Mathematics
0006-2952,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0006-2952,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0007-4551,Health Sciences,Medicine
0007-4551,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0011-5029,Health Sciences,Medicine
0016-7061,Life Sciences,Agricultural and Biological Sciences
0020-7489,Health Sciences,Nursing
0021-9517,Physical Sciences,Chemistry
0021-9517,Physical Sciences,Chemical Engineering
0022-3999,Health Sciences,Medicine
0022-3999,Social Sciences,Psychology
0045-2068,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0045-2068,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0045-2068,Physical Sciences,Chemistry
0143-7496,Physical Sciences,Materials Science
0143-7496,Physical Sciences,Chemical Engineering
0163-4453,Health Sciences,Medicine
0166-3615,Physical Sciences,Engineering
0166-3615,Physical Sciences,Computer Science
0167-5729,Physical Sciences,Chemistry
0167-5729,Physical Sciences,Physics and Astronomy
0167-5729,Physical Sciences,Materials Science
0167-8442,Physical Sciences,Materials Science
0167-8442,Physical Sciences,Engineering
0167-8442,Physical Sciences,Mathematics
0167-8442,Physical Sciences,Physics and Astronomy
0167-8760,Social Sciences,Psychology
0167-8760,Life Sciences,Neuroscience
0167-8760,Health Sciences,Medicine
0263-8762,Physical Sciences,Chemical Engineering
0263-8762,Physical Sciences,Chemistry
0273-2297,Health Sciences,Medicine
0273-2297,Social Sciences,Psychology
0273-2297,Social Sciences,Social Sciences
0273-2300,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0294-1260,Health Sciences,Medicine
0304-422X,Social Sciences,Social Sciences
0304-422X,Social Sciences,Arts and Humanities
0305-0483,Social Sciences,Decision Sciences
0305-0483,Social Sciences,"Business, Management and Accounting"
0375-9474,Physical Sciences,Physics and Astronomy
0378-4266,Social Sciences,"Economics, Econometrics and Finance"
0399-077X,Health Sciences,Medicine
0732-3123,Social Sciences,Social Sciences
0732-3123,Physical Sciences,Mathematics
0732-3123,Social Sciences,Psychology
0734-743X,Physical Sciences,Engineering
0889-8529,Health Sciences,Medicine
0889-8529,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0895-7967,Health Sciences,Medicine
0898-5898,Social Sciences,Social Sciences
0898-5898,Social Sciences,Arts and Humanities
0898-6568,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0921-5107,Physical Sciences,Materials Science
0921-5107,Physical Sciences,Engineering
0921-5107,Physical Sciences,Physics and Astronomy
0925-5273,Social Sciences,Decision Sciences
0925-5273,Social Sciences,"Economics, Econometrics and Finance"
0925-5273,Social Sciences,"Business, Management and Accounting"
0925-5273,Physical Sciences,Engineering
0927-538X,Social Sciences,"Economics, Econometrics and Finance"
0927-796X,Physical Sciences,Materials Science
0927-796X,Physical Sciences,Engineering
0929-1199,Social Sciences,"Economics, Econometrics and Finance"
0929-1199,Social Sciences,"Business, Management and Accounting"
0952-7915,Life Sciences,Immunology and Microbiology
0952-7915,Health Sciences,Medicine
0959-437X,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0959-4752,Social Sciences,Social Sciences
0959-4752,Social Sciences,Psychology
0965-2299,Health Sciences,Nursing
0965-2299,Health Sciences,Health Professions
0965-2299,Health Sciences,Medicine
0966-6923,Social Sciences,Social Sciences
0966-6923,Physical Sciences,Environmental Science
0972-978X,Health Sciences,Medicine
0973-6883,Health Sciences,Medicine
1010-5182,Health Sciences,Dentistry
1010-5182,Health Sciences,Medicine
1044-5005,Social Sciences,"Economics, Econometrics and Finance"
1044-5005,Social Sciences,Decision Sciences
1044-5005,Social Sciences,"Business, Management and Accounting"
1068-5200,Physical Sciences,Engineering
1068-5200,Physical Sciences,Physics and Astronomy
1068-5200,Physical Sciences,Materials Science
1156-5233,Health Sciences,Medicine
1365-1609,Physical Sciences,Earth and Planetary Sciences
1467-0895,Social Sciences,"Business, Management and Accounting"
1467-0895,Social Sciences,"Economics, Econometrics and Finance"
1467-0895,Social Sciences,Decision Sciences
1547-5271,Health Sciences,Medicine
1553-8389,Health Sciences,Medicine
1568-4946,Physical Sciences,Computer Science
1571-0645,Physical Sciences,Computer Science
1571-0645,Life Sciences,Agricultural and Biological Sciences
1571-0645,Physical Sciences,Physics and Astronomy
1631-0748,Physical Sciences,Chemical Engineering
1631-0748,Physical Sciences,Chemistry
1740-6749,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1740-6749,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1756-2317,Health Sciences,Medicine
1871-1413,Life Sciences,Agricultural and Biological Sciences
1871-1413,Health Sciences,Veterinary
1871-5192,Health Sciences,Nursing
1871-5192,Health Sciences,Medicine
2210-8440,Health Sciences,Medicine
2212-4209,Physical Sciences,Earth and Planetary Sciences
2212-4209,Social Sciences,Social Sciences
2213-0764,Health Sciences,Medicine
2213-1337,Physical Sciences,Physics and Astronomy
2213-1337,Physical Sciences,Computer Science
2213-1337,Physical Sciences,Earth and Planetary Sciences
2214-3912,Social Sciences,Social Sciences
2214-3912,Physical Sciences,Earth and Planetary Sciences
2214-3912,Physical Sciences,Engineering
2352-0124,Physical Sciences,Engineering
0016-5085,Health Sciences,Medicine
0048-3575,Life Sciences,Agricultural and Biological Sciences
0048-3575,Physical Sciences,Environmental Science
0254-0584,Physical Sciences,Materials Science
0254-0584,Physical Sciences,Physics and Astronomy
0380-1330,Physical Sciences,Environmental Science
0380-1330,Life Sciences,Agricultural and Biological Sciences
1383-5769,Life Sciences,Immunology and Microbiology
1383-5769,Health Sciences,Medicine
1463-5003,Physical Sciences,Earth and Planetary Sciences
1463-5003,Physical Sciences,Computer Science
2213-3437,Physical Sciences,Environmental Science
2213-3437,Physical Sciences,Chemical Engineering
0167-739X,Physical Sciences,Computer Science
1087-1845,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1087-1845,Life Sciences,Immunology and Microbiology
1877-0568,Health Sciences,Medicine
1877-0657,Health Sciences,Medicine
1936-878X,Health Sciences,Medicine
1389-1286,Physical Sciences,Computer Science
0042-6989,Life Sciences,Neuroscience
0042-6989,Health Sciences,Medicine
1873-9652,Physical Sciences,Earth and Planetary Sciences
1873-9652,Life Sciences,Agricultural and Biological Sciences
1873-9652,Physical Sciences,Environmental Science
0021-7824,Physical Sciences,Mathematics
0890-5401,Physical Sciences,Computer Science
0890-5401,Physical Sciences,Mathematics
0005-7894,Social Sciences,Psychology
0010-4825,Health Sciences,Medicine
0010-4825,Physical Sciences,Computer Science
0014-4886,Life Sciences,Neuroscience
0021-9614,Physical Sciences,Chemistry
0021-9614,Physical Sciences,Materials Science
0021-9614,Physical Sciences,Physics and Astronomy
0022-0531,Social Sciences,"Economics, Econometrics and Finance"
0033-0620,Health Sciences,Medicine
0037-1963,Health Sciences,Medicine
0038-1101,Physical Sciences,Materials Science
0038-1101,Physical Sciences,Engineering
0038-1101,Physical Sciences,Physics and Astronomy
0040-5957,Health Sciences,Medicine
0140-7007,Physical Sciences,Engineering
0163-8343,Health Sciences,Medicine
0166-0462,Social Sciences,"Economics, Econometrics and Finance"
0166-0462,Social Sciences,Social Sciences
0166-5162,Physical Sciences,Energy
0166-5162,Physical Sciences,Earth and Planetary Sciences
0166-6851,Life Sciences,Immunology and Microbiology
0166-6851,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0167-4730,Physical Sciences,Engineering
0167-6393,Physical Sciences,Mathematics
0167-6393,Physical Sciences,Computer Science
0167-6393,Social Sciences,Social Sciences
0167-6393,Social Sciences,Arts and Humanities
0167-6687,Social Sciences,Decision Sciences
0167-6687,Social Sciences,"Economics, Econometrics and Finance"
0167-6687,Physical Sciences,Mathematics
0168-8510,Health Sciences,Medicine
0168-874X,Physical Sciences,Mathematics
0168-874X,Physical Sciences,Engineering
0168-874X,Physical Sciences,Computer Science
0169-5347,Life Sciences,Agricultural and Biological Sciences
0171-9335,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0171-9335,Health Sciences,Medicine
0261-2194,Life Sciences,Agricultural and Biological Sciences
0278-2391,Health Sciences,Dentistry
0278-2391,Health Sciences,Medicine
0304-405X,Social Sciences,"Economics, Econometrics and Finance"
0304-405X,Social Sciences,"Business, Management and Accounting"
0346-251X,Social Sciences,Social Sciences
0346-251X,Social Sciences,Arts and Humanities
0363-0188,Health Sciences,Medicine
0378-1135,Life Sciences,Immunology and Microbiology
0378-1135,Health Sciences,Veterinary
0885-5765,Life Sciences,Agricultural and Biological Sciences
0885-5765,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0889-1591,Life Sciences,Immunology and Microbiology
0889-1591,Life Sciences,Neuroscience
0891-0618,Life Sciences,Neuroscience
0950-7051,Physical Sciences,Computer Science
0950-7051,Social Sciences,"Business, Management and Accounting"
0950-7051,Social Sciences,Decision Sciences
0953-6205,Health Sciences,Medicine
0965-9978,Physical Sciences,Engineering
0965-9978,Physical Sciences,Computer Science
0967-070X,Social Sciences,Social Sciences
1042-3680,Health Sciences,Medicine
1052-5157,Health Sciences,Medicine
1055-7903,Life Sciences,Agricultural and Biological Sciences
1055-7903,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1056-4993,Health Sciences,Medicine
1056-8727,Health Sciences,Medicine
1056-8727,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1071-5819,Physical Sciences,Engineering
1071-5819,Social Sciences,Social Sciences
1071-5819,Physical Sciences,Computer Science
1090-7807,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
1090-7807,Physical Sciences,Physics and Astronomy
1158-1360,Health Sciences,Medicine
1158-1360,Social Sciences,Psychology
1161-0301,Life Sciences,Agricultural and Biological Sciences
1286-4579,Life Sciences,Immunology and Microbiology
1286-4579,Health Sciences,Medicine
1341-321X,Health Sciences,Medicine
1353-8292,Social Sciences,Social Sciences
1359-6446,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1473-3099,Health Sciences,Medicine
1544-3191,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1544-3191,Health Sciences,Health Professions
1544-3191,Health Sciences,Nursing
1568-9972,Health Sciences,Medicine
1568-9972,Life Sciences,Immunology and Microbiology
1877-1297,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1877-1297,Health Sciences,Health Professions
1877-7503,Physical Sciences,Mathematics
1877-7503,Physical Sciences,Computer Science
2211-9264,Life Sciences,Agricultural and Biological Sciences
2214-6296,Physical Sciences,Energy
2214-6296,Social Sciences,Social Sciences
0002-9394,Health Sciences,Medicine
0026-0495,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0026-0495,Health Sciences,Medicine
0165-0270,Life Sciences,Neuroscience
0169-409X,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
1521-6934,Health Sciences,Medicine
0377-0427,Physical Sciences,Mathematics
0001-8686,Physical Sciences,Physics and Astronomy
0001-8686,Physical Sciences,Chemical Engineering
0001-8686,Physical Sciences,Chemistry
0011-2240,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0011-2240,Life Sciences,Agricultural and Biological Sciences
0014-2921,Social Sciences,"Economics, Econometrics and Finance"
0016-6480,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0016-6480,Life Sciences,Agricultural and Biological Sciences
0019-8501,Social Sciences,"Business, Management and Accounting"
0039-6109,Health Sciences,Medicine
0040-8166,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0143-6228,Social Sciences,Social Sciences
0143-6228,Life Sciences,Agricultural and Biological Sciences
0143-6228,Physical Sciences,Environmental Science
0143-6228,Social Sciences,"Business, Management and Accounting"
0144-8188,Social Sciences,Social Sciences
0144-8188,Social Sciences,"Economics, Econometrics and Finance"
0146-0005,Health Sciences,Medicine
0147-5967,Social Sciences,"Economics, Econometrics and Finance"
0147-9571,Life Sciences,Immunology and Microbiology
0147-9571,Health Sciences,Medicine
0147-9571,Health Sciences,Veterinary
0149-1970,Physical Sciences,Energy
0149-1970,Physical Sciences,Engineering
0149-1970,Physical Sciences,Environmental Science
0149-7189,Health Sciences,Medicine
0149-7189,Social Sciences,Social Sciences
0149-7189,Social Sciences,"Business, Management and Accounting"
0149-7189,Social Sciences,Psychology
0165-0378,Health Sciences,Medicine
0165-0378,Life Sciences,Immunology and Microbiology
0169-5002,Health Sciences,Medicine
0169-5002,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0188-4409,Health Sciences,Medicine
0191-2615,Physical Sciences,Engineering
0191-2615,Social Sciences,Social Sciences
0195-6701,Health Sciences,Medicine
0264-3707,Physical Sciences,Earth and Planetary Sciences
0264-8172,Physical Sciences,Earth and Planetary Sciences
0278-4319,Social Sciences,"Business, Management and Accounting"
0306-9192,Physical Sciences,Environmental Science
0306-9192,Social Sciences,Social Sciences
0306-9192,Social Sciences,"Economics, Econometrics and Finance"
0306-9192,Life Sciences,Agricultural and Biological Sciences
0363-5023,Health Sciences,Medicine
0736-5845,Physical Sciences,Engineering
0736-5845,Physical Sciences,Computer Science
0736-5845,Physical Sciences,Mathematics
0889-1575,Life Sciences,Agricultural and Biological Sciences
0889-8588,Health Sciences,Medicine
0890-4065,Health Sciences,Medicine
0890-4065,Health Sciences,Nursing
0895-4356,Health Sciences,Medicine
0911-6044,Life Sciences,Neuroscience
0911-6044,Social Sciences,Social Sciences
0911-6044,Social Sciences,Psychology
