issn,subject_area,top_level
0197-4580,Health Sciences,Medicine
0197-4580,Life Sciences,Neuroscience
0198-8859,Health Sciences,Medicine
0198-8859,Life Sciences,Immunology and Microbiology
0208-5216,Physical Sciences,Engineering
0223-5234,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0223-5234,Physical Sciences,Chemistry
0257-8972,Physical Sciences,Materials Science
0257-8972,Physical Sciences,Physics and Astronomy
0257-8972,Physical Sciences,Chemistry
0260-6917,Health Sciences,Nursing
0260-6917,Social Sciences,Social Sciences
0263-2241,Physical Sciences,Physics and Astronomy
0263-2241,Physical Sciences,Engineering
0263-8223,Physical Sciences,Materials Science
0263-8223,Physical Sciences,Engineering
0264-8377,Physical Sciences,Environmental Science
0264-8377,Social Sciences,Social Sciences
0264-8377,Life Sciences,Agricultural and Biological Sciences
0264-9993,Social Sciences,"Economics, Econometrics and Finance"
0266-352X,Physical Sciences,Computer Science
0266-352X,Physical Sciences,Earth and Planetary Sciences
0269-7491,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0269-7491,Physical Sciences,Environmental Science
0272-6386,Health Sciences,Medicine
0272-8842,Physical Sciences,Chemical Engineering
0272-8842,Physical Sciences,Materials Science
0273-1177,Physical Sciences,Earth and Planetary Sciences
0273-1177,Physical Sciences,Engineering
0273-1177,Physical Sciences,Physics and Astronomy
0277-3791,Physical Sciences,Earth and Planetary Sciences
0277-3791,Social Sciences,Arts and Humanities
0277-3791,Social Sciences,Social Sciences
0277-3791,Physical Sciences,Environmental Science
0277-3791,Life Sciences,Agricultural and Biological Sciences
0277-5387,Physical Sciences,Materials Science
0277-5387,Physical Sciences,Chemistry
0277-5395,Social Sciences,Social Sciences
0300-2896,Health Sciences,Medicine
0301-4622,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0301-4622,Physical Sciences,Chemistry
0301-9268,Physical Sciences,Earth and Planetary Sciences
0304-3770,Life Sciences,Agricultural and Biological Sciences
0304-3800,Physical Sciences,Environmental Science
0304-3835,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0304-3835,Health Sciences,Medicine
0304-386X,Physical Sciences,Materials Science
0304-386X,Physical Sciences,Engineering
0304-3932,Social Sciences,"Economics, Econometrics and Finance"
0304-3940,Life Sciences,Neuroscience
0304-4238,Life Sciences,Agricultural and Biological Sciences
0304-8853,Physical Sciences,Materials Science
0304-8853,Physical Sciences,Physics and Astronomy
0305-4403,Social Sciences,Social Sciences
0305-4403,Social Sciences,Arts and Humanities
0305-750X,Social Sciences,Social Sciences
0305-750X,Social Sciences,"Economics, Econometrics and Finance"
0306-2619,Physical Sciences,Engineering
0306-2619,Physical Sciences,Energy
0306-2619,Physical Sciences,Environmental Science
0306-4522,Life Sciences,Neuroscience
0306-4530,Life Sciences,Neuroscience
0306-4530,Health Sciences,Medicine
0306-4530,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0306-4549,Physical Sciences,Energy
0306-4565,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0306-4565,Life Sciences,Agricultural and Biological Sciences
0306-4603,Health Sciences,Medicine
0306-4603,Social Sciences,Psychology
0306-4603,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0308-521X,Life Sciences,Agricultural and Biological Sciences
0360-1323,Physical Sciences,Engineering
0360-1323,Social Sciences,Social Sciences
0360-1323,Physical Sciences,Environmental Science
0360-3016,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0360-3016,Physical Sciences,Physics and Astronomy
0360-3016,Health Sciences,Medicine
0367-2530,Life Sciences,Agricultural and Biological Sciences
0367-2530,Physical Sciences,Environmental Science
0375-6505,Physical Sciences,Earth and Planetary Sciences
0375-6505,Physical Sciences,Energy
0375-6742,Physical Sciences,Earth and Planetary Sciences
0375-9601,Physical Sciences,Physics and Astronomy
0376-7388,Physical Sciences,Chemistry
0376-7388,Physical Sciences,Chemical Engineering
0376-7388,Physical Sciences,Materials Science
0376-7388,Life Sciences,"Biochemistry, Genetics and Molecular Biology"
0376-8716,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics"
0376-8716,Health Sciences,Medicine
